governor,state,year,party
Bill Walker,Alaska,2018,Independent
Lolo Matalasi Moliga,American Samoa,2018,Independent
Doug Ducey,Arizona,2018,Republican
Asa Hutchinson,Arkansas,2018,Republican
Edmund G. Brown,California,2018,Democrat
John Hickenlooper,Colorado,2018,Democrat
Dannel Malloy,Connecticut,2018,Democrat
John Carney,Delaware,2018,Democrat
Rick Scott,Florida,2018,Republican
Nathan Deal,Georgia,2018,Republican
Eddie Baza Calvo,Guam,2018,Republican
David Ige,Hawaii,2018,Democrat
"C. L. ""Butch"" Otter",Idaho,2018,Republican
Bruce Rauner,Illinois,2018,Republican
Eric Holcomb,Indiana,2018,Republican
Kim Reynolds,Iowa,2018,Republican
Jeff Colyer,Kansas,2018,Republican
Matt Bevin,Kentucky,2018,Republican
John Bel Edwards,Louisiana,2018,Democrat
Paul LePage,Maine,2018,Republican
Larry Hogan,Maryland,2018,Republican
Charlie Baker,Massachusetts,2018,Republican
Rick Snyder,Michigan,2018,Republican
Mark Dayton,Minnesota,2018,Democrat
Phil Bryant,Mississippi,2018,Republican
Eric Greitens,Missouri,2018,Republican
Steve Bullock,Montana,2018,Democrat
Pete Ricketts,Nebraska,2018,Republican
Brian Sandoval,Nevada,2018,Republican
Chris Sununu,New Hampshire,2018,Republican
Phil Murphy,New Jersey,2018,Democrat
Susana Martinez,New Mexico,2018,Republican
Andrew Cuomo,New York,2018,Democrat
Roy Cooper,North Carolina,2018,Democrat
Doug Burgum,North Dakota,2018,Republican
Ralph Deleon Guerrero Torres,Northern Mariana Islands,2018,Republican
John Kasich,Ohio,2018,Republican
Mary Fallin,Oklahoma,2018,Republican
Kate Brown,Oregon,2018,Democrat
Tom Wolf,Pennsylvania,2018,Democrat
Ricardo Rosselló,Puerto Rico,2018,New Progressive Party (Puerto Rico)
Gina Raimondo,Rhode Island,2018,Democrat
Henry McMaster,South Carolina,2018,Republican
Dennis Daugaard,South Dakota,2018,Republican
Bill Haslam,Tennessee,2018,Republican
Greg Abbott,Texas,2018,Republican
Gary Richard Herbert,Utah,2018,Republican
Phil Scott,Vermont,2018,Republican
Kenneth Mapp,Virgin Islands,2018,Independent
Ralph Northam,Virginia,2018,Democrat
